"Name","Platform","Rank","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","metascore","userscore","date"
"Assassin's Creed IV: Black Flag","X360",402,"2013","Action","Ubisoft",1.9,1.14,0.01,0.29,3.34,86,"7.9","Oct 29, 2013"
"Assassin's Creed IV: Black Flag","XOne",733,"2013","Action","Ubisoft",1.47,0.55,0,0.19,2.21,NA,NA,NA
"Assassin's Creed Syndicate","PC",7563,"2015","Action","Ubisoft",0.1,0.08,0,0.02,0.2,74,"6","Nov 19, 2015"
"Assassin's Creed Syndicate","PS4",410,"2015","Action","Ubisoft",0.8,1.92,0.06,0.5,3.28,76,"6.9","Oct 23, 2015"
"Assassin's Creed Syndicate","XOne",1545,"2015","Action","Ubisoft",0.61,0.56,0,0.11,1.28,NA,NA,NA
"Assassin's Creed: Altair's Chronicles","DS",13155,"2008","Platform","Ubisoft",0.03,0.01,0,0,0.05,58,"6.1","Feb 5, 2008"
"Assassin's Creed: Bloodlines","PSP",1605,"2009","Action","Ubisoft",0.43,0.48,0.05,0.28,1.24,63,"7.1","Nov 17, 2009"
"Assassin's Creed: Brotherhood","PC",3392,"2011","Action","Ubisoft",0.15,0.34,0,0.1,0.59,88,"8.2","Mar 22, 2011"
"Assassin's Creed: Brotherhood","PS3",515,"2010","Action","Ubisoft",1.87,0.57,0.11,0.3,2.84,90,"8.2","Nov 16, 2010"
"Assassin's Creed: Brotherhood","X360",374,"2010","Action","Ubisoft",2.84,0.39,0.03,0.24,3.5,89,"8.3","Nov 16, 2010"
"Assassin's Creed: Revelations","PC",2714,"2011","Action","Ubisoft",0.14,0.48,0,0.14,0.76,80,"7.4","Nov 29, 2011"
"Assassin's Creed: Revelations","PS3",264,"2011","Action","Ubisoft",1.41,2.02,0.1,0.72,4.24,80,"7.6","Nov 15, 2011"
"Assassin's Creed: Revelations","X360",274,"2011","Action","Ubisoft",2.25,1.47,0.04,0.43,4.19,80,"7.2","Nov 15, 2011"
"Assassin's Creed: Rogue","PC",12049,"2015","Action","Ubisoft",0.04,0.02,0,0.01,0.07,NA,NA,NA
"Assassin's Creed: Rogue","PS3",1415,"2014","Action","Ubisoft",0.46,0.62,0.06,0.23,1.37,NA,NA,NA
"Assassin's Creed: Rogue","X360",1966,"2014","Action","Ubisoft",0.58,0.38,0,0.09,1.05,NA,NA,NA
"Assassin's Creed: Unity","PC",3658,"2014","Action","Ubisoft",0.17,0.33,0,0.05,0.55,NA,NA,NA
"Assassin's Creed: Unity","PS4",305,"2014","Action","Ubisoft",1.18,1.96,0.08,0.7,3.92,NA,NA,NA
"Assassin's Creed: Unity","XOne",382,"2014","Action","Ubisoft",2.26,0.89,0,0.3,3.46,NA,NA,NA
"Assassination Classroom: Grand Siege on Kuro-sensei","3DS",9583,"2015","Action","Namco Bandai Games",0,0,0.13,0,0.13,NA,NA,NA
"Assault","2600",7151,"1982","Action","Bomb",0.21,0.01,0,0,0.22,NA,NA,NA
"Assault Rigs","PS",13480,"1996","Action","Electronic Arts Victor",0.02,0.02,0,0,0.04,NA,NA,NA
"Assault Suit Leynos","PS4",15855,"2016","Shooter","Rising Star Games",0.01,0,0,0,0.02,67,"6.7","Jul 14, 2016"
"Assault: Retribution","PS",9575,"1998","Action","Telstar",0.07,0.05,0,0.01,0.13,NA,NA,NA
"Assetto Corsa","PS4",13031,"2016","Racing","505 Games",0,0.04,0,0.01,0.05,73,"6.1","Aug 30, 2016"
"Assetto Corsa","XOne",16279,"2016","Racing","505 Games",0,0.01,0,0,0.01,NA,NA,NA
"Asterix & Obelix: Kick Buttix","PS2",14121,"2004","Action","Atari",0.02,0.01,0,0,0.03,59,"7.7","Sep 14, 2004"
"Asteroids","2600",259,"1980","Shooter","Atari",4,0.26,0,0.05,4.31,NA,NA,NA
"Asteroids","PS",1781,"1998","Shooter","Success",0.64,0.43,0,0.07,1.15,NA,NA,NA
"Asteroids Hyper 64","N64",8584,"1999","Shooter","Crave Entertainment",0.13,0.03,0,0,0.16,NA,NA,NA
"Astonishia Story","PSP",14179,"2006","Role-Playing","Ubisoft",0.03,0,0,0,0.03,48,"5.2","Jun 6, 2006"
"Astro Boy","PS2",11247,"2004","Action","Sega",0.04,0.03,0,0.01,0.09,54,"7.3","Aug 18, 2004"
"Astro Boy: Omega Factor","GBA",11032,"2003","Action","THQ",0.06,0.02,0,0,0.09,85,"8.8","Aug 18, 2004"
"Astro Boy: The Video Game","DS",10508,"2009","Action","D3Publisher",0.09,0,0,0.01,0.1,34,"tbd","Oct 20, 2009"
"Astro Boy: The Video Game","PS2",10188,"2009","Action","D3Publisher",0.05,0.04,0,0.01,0.11,NA,NA,NA
"Astro Boy: The Video Game","PSP",13799,"2009","Action","D3Publisher",0.04,0,0,0,0.04,NA,NA,NA
"Astro Boy: The Video Game","Wii",10254,"2009","Action","D3Publisher",0.1,0,0,0.01,0.11,NA,NA,NA
"Astroblast","2600",5802,"1981","Action","Mattel Interactive",0.29,0.02,0,0,0.31,NA,NA,NA
"Astrology DS","DS",14071,"2009","Misc","Deep Silver",0.03,0,0,0,0.04,NA,NA,NA
"Asura's Wrath","PS3",4776,"2012","Action","Capcom",0.18,0.12,0.06,0.05,0.41,71,"7.4","Feb 21, 2012"
"Asura's Wrath","X360",6911,"2012","Action","Capcom",0.15,0.06,0.01,0.02,0.24,71,"6.6","Feb 21, 2012"
"Atari Anniversary Advance","GBA",8056,"2002","Misc","Atari",0.13,0.05,0,0,0.18,75,"tbd","Mar 25, 2002"
"Atari Anniversary Edition Redux","PS",8147,"2000","Misc","Infogrames",0.1,0.07,0,0.01,0.18,NA,NA,NA
"Atari Anthology","PS2",4833,"2004","Misc","Atari",0.33,0.01,0,0.05,0.4,66,"5.8","Nov 22, 2004"
"Atari Anthology","XB",6679,"2004","Misc","Atari",0.19,0.05,0,0.01,0.25,NA,NA,NA
"Atari Classics Evolved","PSP",10967,"2007","Misc","Atari",0.08,0,0,0.01,0.09,64,"6","Dec 19, 2007"
"Atari's Greatest Hits: Volume 1","DS",9161,"2010","Misc","Atari",0.13,0,0,0.01,0.14,NA,NA,NA
"Atari's Greatest Hits: Volume 2","DS",12394,"2011","Misc","Atari",0.06,0,0,0,0.06,NA,NA,NA
"Atelier Annie: Alchemists of Sera Island","DS",9795,"2009","Role-Playing","Gust",0.08,0,0.03,0.01,0.12,70,"6.7","Oct 27, 2009"
"Atelier Ayesha: The Alchemist of Dusk","PS3",6436,"2012","Role-Playing","Tecmo Koei",0.06,0.04,0.14,0.02,0.27,70,"6.6","Mar 5, 2013"
"Atelier Ayesha: The Alchemist of Dusk","PSV",13410,"2014","Role-Playing","Tecmo Koei",0,0,0.05,0,0.05,NA,NA,NA
"Atelier Escha & Logy: Alchemists of the Dusk Sky","PS3",7184,"2013","Role-Playing","Tecmo Koei",0.06,0.04,0.1,0.02,0.22,79,"7.5","Mar 11, 2014"
"Atelier Escha & Logy: Alchemists of the Dusk Sky","PSV",13475,"2015","Role-Playing","Tecmo Koei",0,0,0.04,0,0.04,NA,NA,NA
"Atelier Iris 2: The Azoth Of Destiny","PS2",12392,"2005","Role-Playing","Tecmo Koei",0.03,0.02,0,0.01,0.06,NA,NA,NA
"Atelier Iris 3: Grand Phantasm (JP Sales)","PS2",13771,"2006","Role-Playing","Tecmo Koei",0,0,0.04,0,0.04,NA,NA,NA
"Atelier Iris 3: Grand Phantasm (US Sales)","PS2",6003,"2006","Role-Playing","Tecmo Koei",0.14,0.11,0,0.04,0.29,NA,NA,NA
"Atelier Iris: Eternal Mana","PS2",8742,"2004","Role-Playing","Tecmo Koei",0.08,0.06,0,0.02,0.15,74,"7.8","Jun 28, 2005"
"Atelier Meruru: Alchemist of Arland 3","PS3",6822,"2011","Role-Playing","Nippon Ichi Software",0.05,0,0.18,0.01,0.24,NA,NA,NA
"Atelier Meruru: Alchemist of Arland 3","PSV",12247,"2013","Role-Playing","Gust",0,0,0.06,0,0.06,NA,NA,NA
"Atelier Rorona: Alchemist of Arland","PS3",3960,"2009","Role-Playing","Nippon Ichi Software",0.22,0.12,0.11,0.05,0.5,NA,NA,NA
"Atelier Rorona: Alchemist of Arland","PSV",13133,"2013","Role-Playing","Nippon Ichi Software",0,0,0.05,0,0.05,NA,NA,NA
"Atelier Shallie Plus: Alchemists of the Dusk Sea","PSV",14466,"2016","Role-Playing","Tecmo Koei",0,0,0.03,0,0.03,NA,NA,NA
"Atelier Shallie: Alchemists of the Dusk Sea","PS3",7540,"2014","Role-Playing","Tecmo Koei",0.06,0.05,0.08,0.02,0.2,76,"7.7","Mar 10, 2015"
"Atelier Sophie: The Alchemist of the Mysterious Book","PS3",14347,"2015","Role-Playing","Tecmo Koei",0,0,0.03,0,0.03,NA,NA,NA
"Atelier Sophie: The Alchemist of the Mysterious Book","PS4",10662,"2015","Role-Playing","Tecmo Koei",0.01,0.02,0.06,0.01,0.1,75,"7.7","Jun 7, 2016"
"Atelier Sophie: The Alchemist of the Mysterious Book","PSV",12575,"2015","Role-Playing","Tecmo Koei",0,0,0.06,0,0.06,NA,NA,NA
"Atelier Totori: The Adventurer of Arland","PS3",4526,"2010","Role-Playing","Nippon Ichi Software",0.12,0.07,0.21,0.03,0.43,74,"6.7","Sep 27, 2011"
"Atelier Totori: The Adventurer of Arland","PSV",11104,"2012","Role-Playing","Gust",0,0,0.09,0,0.09,NA,NA,NA
"Athens 2004","PS2",6301,"2004","Sports","Sony Computer Entertainment",0.13,0.1,0,0.03,0.27,61,"7.4","Jul 14, 2004"
"Atlantic Quest","PC",15470,"2011","Puzzle","Avanquest",0,0.02,0,0,0.02,NA,NA,NA
"Atlantis","2600",1558,"1981","Shooter","Imagic",1.18,0.08,0,0.01,1.27,NA,NA,NA
"Atomic Betty","GBA",14536,"2005","Puzzle","Atari",0.02,0.01,0,0,0.03,62,"7.9","Oct 25, 2005"
"Atsumare! Power Pro Kun no DS Koushien","DS",10496,"N/A","Sports","N/A",0,0,0.1,0,0.1,NA,NA,NA
"Attack of the Movies 3D","Wii",10326,"2010","Shooter","Majesco Entertainment",0.1,0,0,0.01,0.11,NA,NA,NA
"Attack of the Movies 3D","X360",13611,"2010","Shooter","Majesco Entertainment",0.04,0,0,0,0.04,38,"1.7","May 18, 2010"
"Attack on Titan (KOEI)","PS3",12565,"2016","Action","Tecmo Koei",0,0,0.06,0,0.06,NA,NA,NA
"Attack on Titan (KOEI)","PS4",7499,"2016","Action","Tecmo Koei",0.02,0.06,0.11,0.02,0.2,NA,NA,NA
"Attack on Titan (KOEI)","PSV",9440,"2016","Action","Tecmo Koei",0,0,0.13,0,0.13,NA,NA,NA
"Attack on Titan (KOEI)","XOne",14612,"2016","Action","Tecmo Koei",0.01,0.01,0,0,0.03,NA,NA,NA
"Attack on Titan: Humanity in Chains","3DS",4679,"2013","Action","Screenlife",0,0,0.41,0,0.41,46,"4.5","May 12, 2015"
"ATV Offroad Fury","PS2",642,"2001","Racing","Sony Computer Entertainment",2.07,0.26,0,0.08,2.41,82,"8.3","Feb 5, 2001"
"ATV Offroad Fury 2","PS2",749,"2002","Racing","THQ",1.92,0.2,0,0.06,2.18,82,"8.7","Nov 9, 2002"
"ATV Offroad Fury 3","PS2",1670,"2004","Racing","SouthPeak Games",1,0.04,0,0.16,1.2,78,"8.4","Nov 2, 2004"
"ATV Offroad Fury Pro","PSP",4251,"2006","Racing","Sony Computer Entertainment",0.37,0.04,0,0.05,0.46,76,"7.2","Oct 26, 2006"
"ATV Offroad Fury: Blazin' Trails","PSP",3510,"2005","Racing","SouthPeak Games",0.53,0,0,0.04,0.57,63,"7.8","Apr 19, 2005"
"ATV Quad Kings","DS",10184,"2010","Racing","Storm City Games",0.1,0,0,0.01,0.11,NA,NA,NA
"ATV Quad Kings","Wii",7234,"2009","Racing","Zoo Digital Publishing",0.21,0,0,0.01,0.22,NA,NA,NA
"ATV Quad Power Racing 2","GC",6134,"2003","Racing","Acclaim Entertainment",0.22,0.06,0,0.01,0.28,70,"8.4","Jan 22, 2003"
"ATV Quad Power Racing 2","PS2",2466,"2003","Racing","Acclaim Entertainment",0.41,0.32,0,0.11,0.84,68,"tbd","Jan 13, 2003"
"ATV Quad Power Racing 2","XB",4398,"2003","Racing","Acclaim Entertainment",0.36,0.07,0,0.01,0.45,NA,NA,NA
"ATV: Quad Frenzy","DS",10291,"2005","Racing","Majesco Entertainment",0.1,0,0,0.01,0.11,NA,NA,NA
"ATV: Quad Power Racing","GBA",6589,"2002","Racing","Liquid Games",0.18,0.07,0,0,0.26,49,"tbd","Aug 20, 2002"
"ATV: Quad Power Racing","PS",1996,"2000","Racing","Acclaim Entertainment",0.58,0.39,0,0.07,1.04,42,"tbd","Aug 23, 2000"
"ATV/Monster Truck Mayhem","DS",5226,"2007","Racing","Destination Software, Inc",0.33,0,0,0.02,0.36,NA,NA,NA
"Auto Destruct","PS",11618,"1998","Action","Electronic Arts",0.04,0.03,0,0.01,0.08,NA,NA,NA
"Auto Modellista","GC",14728,"2003","Racing","Capcom",0.02,0.01,0,0,0.03,62,"tbd","Sep 30, 2003"
"Auto Modellista","PS2",4963,"2002","Racing","Capcom",0.19,0.15,0,0.05,0.39,66,"7.2","Mar 25, 2003"
"Automobili Lamborghini","N64",4189,"1997","Racing","Titus",0.28,0.17,0,0.01,0.47,NA,NA,NA
"Avalon Code","DS",6782,"2008","Role-Playing","Rising Star Games",0.11,0,0.12,0.01,0.24,71,"7.4","Mar 10, 2009"
"Avatar: The Game","DS",4777,"2009","Action","Ubisoft",0.19,0.18,0,0.04,0.41,NA,NA,NA
"Avatar: The Game","PC",13432,"2009","Action","Ubisoft",0,0.04,0,0.01,0.05,NA,NA,NA
"Avatar: The Game","PS3",2278,"2009","Action","Ubisoft",0.32,0.43,0,0.16,0.91,NA,NA,NA
"Avatar: The Game","PSP",3357,"2009","Action","Ubisoft",0.22,0.24,0,0.14,0.6,NA,NA,NA
"Avatar: The Game","Wii",2819,"2009","Action","Ubisoft",0.33,0.32,0,0.08,0.73,NA,NA,NA
"Avatar: The Game","X360",2658,"2009","Action","Ubisoft",0.34,0.35,0,0.08,0.78,NA,NA,NA
"Avatar: The Last Airbender","DS",5436,"2006","Adventure","THQ",0.3,0.01,0,0.03,0.34,64,"7.3","Oct 10, 2006"
"Avatar: The Last Airbender","GC",3963,"2006","Adventure","THQ",0.39,0.1,0,0.01,0.5,60,"6.5","Oct 10, 2006"
"Avatar: The Last Airbender","PSP",10197,"2006","Adventure","THQ",0.1,0,0,0.01,0.11,57,"6.1","Oct 10, 2006"
"Avatar: The Last Airbender","Wii",6145,"2006","Adventure","THQ",0.24,0.02,0,0.02,0.28,NA,NA,NA
"Avatar: The Last Airbender - Into the Inferno","DS",9599,"2008","Adventure","THQ",0.11,0.01,0,0.01,0.13,NA,NA,NA
"Avatar: The Last Airbender - Into the Inferno","PS2",6770,"2008","Adventure","THQ",0.12,0.09,0,0.03,0.25,NA,NA,NA
"Avatar: The Last Airbender - Into the Inferno","Wii",7810,"2008","Adventure","THQ",0.17,0.01,0,0.01,0.19,NA,NA,NA
"Avatar: The Last Airbender - The Burning Earth","DS",5365,"2007","Action","THQ",0.31,0,0,0.03,0.34,NA,NA,NA
"Avatar: The Last Airbender - The Burning Earth","PS2",4606,"2007","Action","THQ",0.21,0.16,0,0.05,0.42,NA,NA,NA
"Avatar: The Last Airbender - The Burning Earth","Wii",6557,"2007","Action","THQ",0.24,0,0,0.02,0.26,NA,NA,NA
"Avatar: The Last Airbender - The Burning Earth","X360",9269,"2007","Action","THQ",0.11,0.01,0,0.01,0.14,54,"5.9","Nov 19, 2007"
"Away: Shuffle Dungeon","DS",14421,"2008","Role-Playing","Majesco Entertainment",0.02,0,0,0,0.03,65,"tbd","Oct 30, 2008"
"Azada","3DS",15501,"2012","Puzzle","Licensed 4U",0,0.02,0,0,0.02,NA,NA,NA
"Azure Dreams","PS",9378,"1997","Role-Playing","Konami Digital Entertainment",0.07,0.05,0,0.01,0.13,NA,NA,NA
"Azure Striker Gunvolt: Striker Pack","3DS",16475,"2016","Action","Inti Creates",0,0,0.01,0,0.01,NA,NA,NA
"Azurik: Rise of Perathia","XB",6849,"2001","Action","Microsoft Game Studios",0.18,0.05,0,0.01,0.24,NA,NA,NA
"B-17: Fortress in the Sky","DS",15398,"2007","Simulation","DSI Games",0.02,0,0,0,0.02,NA,NA,NA
"B-Boy","PSP",13379,"2006","Misc","Sony Computer Entertainment",0.04,0,0,0,0.05,50,"7.8","Sep 23, 2008"
"B.L.U.E.: Legend of Water","PS",13674,"N/A","Adventure","N/A",0,0,0.04,0,0.04,NA,NA,NA
"B's-LOG Party♪","PSP",13540,"2010","Adventure","Idea Factory",0,0,0.04,0,0.04,NA,NA,NA
"Baby Pals","DS",6118,"2007","Simulation","THQ",0.26,0.01,0,0.02,0.28,NA,NA,NA
"Babysitting Mama","Wii",3973,"2010","Simulation","505 Games",0.34,0.12,0,0.04,0.5,NA,NA,NA
"Babysitting Mania","DS",6499,"2008","Simulation","Majesco Entertainment",0.24,0,0,0.02,0.26,NA,NA,NA
"Back At The Barnyard: Slop Bucket Games","DS",9329,"2008","Sports","THQ",0.12,0,0,0.01,0.14,NA,NA,NA
"Back to the Future: The Game","PS3",11134,"2011","Adventure","Telltale Games",0.07,0.01,0,0.01,0.09,NA,NA,NA
"Back to the Future: The Game","PS4",8234,"2015","Adventure","Telltale Games",0.1,0.04,0,0.03,0.17,NA,NA,NA
"Back to the Future: The Game","Wii",12592,"2011","Adventure","Telltale Games",0.05,0,0,0,0.06,NA,NA,NA
"Back to the Future: The Game","X360",14876,"2015","Adventure","Telltale Games",0.02,0.01,0,0,0.03,NA,NA,NA
"Back to the Future: The Game","XOne",15710,"2015","Adventure","Telltale Games",0,0.02,0,0,0.02,NA,NA,NA
"Backbreaker","PS3",8315,"N/A","Sports","Unknown",0.16,0,0,0.01,0.17,58,"7","Jun 1, 2010"
"Backbreaker","X360",8088,"N/A","Sports","Unknown",0.17,0,0,0.01,0.18,54,"7.6","Jun 1, 2010"
"Backstreet Billiards","PS",5400,"1998","Misc","ASCII Entertainment",0.19,0.13,0,0.02,0.34,NA,NA,NA
"Backyard Baseball","GBA",4555,"2002","Sports","Atari",0.31,0.11,0,0.01,0.43,NA,NA,NA
"Backyard Baseball","GC",9554,"2003","Sports","Infogrames",0.1,0.03,0,0,0.13,NA,NA,NA
"Backyard Baseball","PS2",4054,"2004","Sports","Atari",0.24,0.19,0,0.06,0.49,NA,NA,NA
"Backyard Baseball '09","DS",9545,"2008","Sports","Atari",0.12,0,0,0.01,0.13,NA,NA,NA
"Backyard Baseball '09","PS2",15414,"2008","Sports","Atari",0.01,0.01,0,0,0.02,NA,NA,NA
"Backyard Baseball '09","Wii",13481,"2008","Sports","Atari",0.04,0,0,0,0.04,NA,NA,NA
"Backyard Baseball '10","DS",9785,"2009","Sports","Atari",0.11,0,0,0.01,0.12,NA,NA,NA
"Backyard Baseball '10","PS2",8298,"2009","Sports","Atari",0.08,0.07,0,0.02,0.17,NA,NA,NA
"Backyard Baseball '10","Wii",10272,"2009","Sports","Atari",0.1,0,0,0.01,0.11,NA,NA,NA
"Backyard Baseball 2006","GBA",5269,"2005","Sports","Atari",0.25,0.09,0,0.01,0.35,NA,NA,NA
"Backyard Basketball","GBA",8194,"2004","Sports","Atari",0.13,0.05,0,0,0.18,NA,NA,NA
"Backyard Hockey","DS",11854,"2007","Sports","Atari",0.07,0,0,0.01,0.07,NA,NA,NA
"Backyard Hockey","GBA",7697,"2003","Sports","Atari",0.14,0.05,0,0,0.2,NA,NA,NA
"Backyard NBA Basketball","DS",11736,"2007","Sports","Atari",0.07,0,0,0.01,0.07,NA,NA,NA
"Backyard NBA Basketball","PS2",3435,"2003","Sports","Atari",0.29,0.22,0,0.07,0.59,NA,NA,NA
"Backyard NFL Football","DS",15031,"2007","Sports","Atari",0.02,0,0,0,0.02,NA,NA,NA
"Backyard NFL Football","GBA",3586,"2002","Sports","Infogrames",0.4,0.15,0,0.01,0.56,NA,NA,NA
"Backyard NFL Football","GC",6592,"2002","Sports","Infogrames",0.2,0.05,0,0.01,0.26,NA,NA,NA
"Backyard NFL Football","Wii",14825,"2007","Sports","Atari",0.02,0,0,0,0.03,NA,NA,NA
"Backyard NFL Football '08","PS2",12792,"2007","Sports","Atari",0.03,0.02,0,0.01,0.06,NA,NA,NA
"Backyard NFL Football '09","DS",11619,"2008","Sports","Atari",0.07,0,0,0.01,0.08,NA,NA,NA
"Backyard NFL Football '09","PS2",8293,"2008","Sports","Atari",0.08,0.07,0,0.02,0.17,NA,NA,NA
"Backyard NFL Football '09","Wii",7336,"2008","Sports","Atari",0.2,0,0,0.02,0.21,NA,NA,NA
"Backyard NFL Football '10","PS2",12432,"2009","Sports","Atari",0.03,0.02,0,0.01,0.06,NA,NA,NA
"Backyard NFL Football '10","Wii",8323,"2009","Sports","Atari",0.16,0,0,0.01,0.17,NA,NA,NA
"Backyard NFL Football '10","X360",10293,"2009","Sports","Atari",0.1,0,0,0.01,0.11,NA,NA,NA
"Backyard NFL Football 2006","GBA",14197,"2005","Sports","Atari",0.02,0.01,0,0,0.03,NA,NA,NA
"Backyard NFL Football 2006","PS2",7515,"2005","Sports","Atari",0.1,0.08,0,0.03,0.2,NA,NA,NA
"Backyard Skateboarding 2006","GBA",12625,"2004","Sports","Atari",0.04,0.02,0,0,0.06,NA,NA,NA
"Backyard Soccer","PS",9335,"2001","Sports","Infogrames",0.07,0.05,0,0.01,0.13,NA,NA,NA
"Backyard Sports Football: Rookie Rush","DS",8236,"2010","Sports","Atari",0.16,0,0,0.01,0.17,NA,NA,NA
"Backyard Sports Football: Rookie Rush","Wii",9517,"2010","Sports","Atari",0.12,0,0,0.01,0.13,NA,NA,NA
"Backyard Sports Football: Rookie Rush","X360",9868,"2010","Sports","Atari",0.11,0,0,0.01,0.12,NA,NA,NA
"Backyard Sports: Sandlot Sluggers","DS",8967,"2010","Sports","Atari",0.14,0,0,0.01,0.15,NA,NA,NA
"Backyard Sports: Sandlot Sluggers","Wii",8674,"2010","Sports","Atari",0.15,0,0,0.01,0.16,NA,NA,NA
"Backyard Sports: Sandlot Sluggers","X360",10930,"2010","Sports","Atari",0.09,0,0,0.01,0.09,NA,NA,NA
"Backyard Wrestling 2: There Goes the Neighborhood","PS2",6187,"2004","Fighting","Eidos Interactive",0.14,0.11,0,0.04,0.28,46,"4.7","Nov 16, 2004"
"Backyard Wrestling 2: There Goes the Neighborhood","XB",9916,"2004","Fighting","Eidos Interactive",0.09,0.03,0,0,0.12,NA,NA,NA
"Backyard Wrestling: Don't Try This at Home","PS2",3341,"2003","Fighting","Eidos Interactive",0.3,0.23,0,0.08,0.6,51,"7.8","Oct 7, 2003"
"Backyard Wrestling: Don't Try This at Home","XB",8413,"2003","Fighting","Eidos Interactive",0.13,0.04,0,0.01,0.17,NA,NA,NA
"Bad Apple Wars","PSV",14441,"2015","Action","Idea Factory",0,0,0.03,0,0.03,NA,NA,NA
"Bad Boys: Miami Takedown","GC",13451,"2004","Shooter","Empire Interactive",0.03,0.01,0,0,0.05,35,"2","Sep 14, 2004"
"Bad Boys: Miami Takedown","PS2",1767,"2004","Shooter","Empire Interactive",0.56,0.44,0,0.15,1.15,NA,NA,NA
"Bad Boys: Miami Takedown","XB",8090,"2004","Shooter","Empire Interactive",0.14,0.04,0,0.01,0.18,NA,NA,NA
"Bae Yong-joon to Manabu Kankokugo DS","DS",14840,"2009","Misc","D3Publisher",0,0,0.03,0,0.03,NA,NA,NA
"Bahamut Lagoon","SNES",3277,"1996","Role-Playing","SquareSoft",0,0,0.62,0,0.62,NA,NA,NA
"Baja: Edge of Control","PS3",7346,"2008","Racing","THQ",0.1,0.08,0,0.04,0.21,61,"5","Sep 22, 2008"
"Baja: Edge of Control","X360",7677,"2008","Racing","THQ",0.12,0.06,0,0.02,0.2,65,"7.1","Sep 22, 2008"
"Bakemonogatari Portable","PSP",13075,"2012","Action","Namco Bandai Games",0,0,0.05,0,0.05,NA,NA,NA
"Baku Baku","SAT",13171,"1995","Puzzle","Sega",0,0,0.05,0,0.05,NA,NA,NA
"Bakugan Battle Brawlers: Defenders of the Core","DS",4049,"2010","Action","Activision",0.42,0.02,0.02,0.03,0.49,NA,NA,NA
"Bakugan Battle Brawlers: Defenders of the Core","PS3",8458,"2010","Action","Activision",0.14,0.01,0,0.02,0.17,NA,NA,NA
"Bakugan Battle Brawlers: Defenders of the Core","PSP",8855,"2010","Action","Activision",0.09,0.04,0,0.03,0.15,NA,NA,NA
"Bakugan Battle Brawlers: Defenders of the Core","Wii",8395,"2010","Action","Activision",0.15,0.01,0,0.01,0.17,NA,NA,NA
"Bakugan Battle Brawlers: Defenders of the Core","X360",8972,"2010","Action","Activision",0.11,0.02,0,0.01,0.15,NA,NA,NA
"Bakugan: Battle Brawlers","DS",1393,"2009","Action","Activision",1.27,0.02,0,0.09,1.39,NA,NA,NA
"Bakugan: Battle Brawlers","PS2",4562,"2009","Action","Activision",0.21,0.16,0,0.05,0.43,NA,NA,NA
"Bakugan: Battle Brawlers","PS3",6867,"2009","Action","Activision",0.19,0.03,0,0.02,0.24,NA,NA,NA
"Bakugan: Battle Brawlers","Wii",2976,"2009","Action","Activision",0.6,0.03,0,0.05,0.68,NA,NA,NA
"Bakugan: Battle Brawlers","X360",6798,"2009","Action","Activision",0.2,0.02,0,0.02,0.24,NA,NA,NA
"Bakugan: Battle Trainer","DS",9382,"2010","Action","Activision",0.12,0,0,0.01,0.13,NA,NA,NA
"Bakugan: Rise of the Resistance","DS",11108,"2011","Strategy","Activision",0.06,0.02,0,0.01,0.09,NA,NA,NA
"Bakumatsu Koihana: Shinsengumi DS","DS",16097,"2008","Adventure","D3Publisher",0,0,0.01,0,0.01,NA,NA,NA
"Bakumatsu Renka: Karyuu Kenshi-den","PS2",15623,"2007","Adventure","D3Publisher",0,0,0.02,0,0.02,NA,NA,NA
"Bakumatsu Rock","PSP",16219,"2014","Action","Marvelous Entertainment",0,0,0.01,0,0.01,NA,NA,NA
"Bakumatsu Rock: Ultra Soul","PSP",16522,"2014","Misc","Marvelous Interactive",0,0,0.01,0,0.01,NA,NA,NA
"Bakumatsu Rock: Ultra Soul","PSV",15580,"2014","Misc","Marvelous Interactive",0,0,0.02,0,0.02,NA,NA,NA
"Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi","PS",4988,"1998","Racing","Human Entertainment",0,0,0.36,0.03,0.38,NA,NA,NA
"Bakusou Kyoudai Let's & Go!! Eternal Wings","PS",13081,"1998","Racing","Jaleco",0,0,0.05,0,0.05,NA,NA,NA
"Baldur's Gate: Dark Alliance","GBA",14780,"2004","Role-Playing","Destination Software, Inc",0.02,0.01,0,0,0.03,76,"7.1","Feb 10, 2004"
"Baldur's Gate: Dark Alliance","GC",9156,"2002","Role-Playing","Virgin Interactive",0.11,0.03,0,0,0.14,79,"7.6","Nov 18, 2002"
"Baldur's Gate: Dark Alliance","PS2",1600,"2001","Role-Playing","Virgin Interactive",0.61,0.48,0,0.16,1.24,87,"8.3","Dec 2, 2001"
"Baldur's Gate: Dark Alliance","XB",7716,"2002","Role-Playing","Virgin Interactive",0.15,0.04,0,0.01,0.2,NA,NA,NA
"Baldur's Gate: Dark Alliance II","PS2",2972,"2004","Role-Playing","Interplay",0.34,0.26,0,0.09,0.68,78,"8.3","Jan 20, 2004"
"Baldur's Gate: Dark Alliance II","XB",6607,"2004","Role-Playing","Acclaim Entertainment",0.19,0.06,0,0.01,0.26,NA,NA,NA
"Ball Breakers","PS",8156,"2000","Action","Take-Two Interactive",0.1,0.07,0,0.01,0.18,68,"5.3","Jul 26, 2000"
